Given the following triangle (Fig. 1), find side a.	"A) 14.61 inches
B) 16.45 inches
C) 14.54 inches
D) 16.51 inches"	B
What is the area of this trapezoid (Fig. 2)?	"A) 120 cm²
B) 150 cm²
C) 216 cm²
D) 180 cm²"	B
"Solve the following equation for y if x = 6.
x² + 3xy + 2y² = 0"	"A) y = -6, 3
B) y = 3, 6
C) y = -3, -6
D) y = -3, 6"	C
The slope of a line connecting two points P(x1, y1) and P2(x2, y2) is:	"A) (y₁ - y₂)/(x₂ - x₁)
B) (y₁ - y₂)/(x₁ - x₂)
C) (x₁ - x₂)/(y₂ - y₁)
D) (y₂ - y₁)/(x₂ - x₁)"	D
"Solve the following equations:
2x-3y+5z=27
x+2y-z=4
4x+y+5z=27"	"A) x = 1, y = 2, z = 4
B) x = -2, y = 1, z = 4
C) x = 2, y = -1, z = 4
D) x = 2, y = 1, z = 4"	C
What is the binary representation of the unsigned integer 182?	"A) 11001001
B) 10110110
C) 11100110
D) 01101101"	B
"What would be the value of A after evaluating the following arithmetic expression?
A = (5.0 + 4.0/2.0) - (20.0/5.0 - 1.0) * 2.0"	"A) 6.0
B) 1.0
C) 3.0
D) -1.0"	B
If a job's standard time for completion is 3 minutes and an operator's time was 4 minutes, his/her performance rating would be:	"A) 1.33 %
B) 75.0 %
C) 113.0 %
D) 7.5 %"	B
"Solve the following equations:
2x-3y+5z=27
x+2y-z=4
4x+y+5z=27"	"A) x = 1; y = -2; z = 4
B) x = 2; y = -1; z = 4
C) x = -2; y = 1; z = 4
D) x = 2; y = 1; z = 4"	B
A portion of a machine shaft has a taper of 4.375 in./ft. What is the equivalent included angle of taper?	"A) 10.50 degrees
B) 17 degrees
C) 21 degrees
D) 42 degrees"	D
The law of Cosines describes the relationship between:	"A) one side of a triangle and the angle.
B) three sides of a triangle and an angle.
C) two angles of a triangle.
D) one side and two triangles."	B
How many gallons of cutting oil will this barrel hold?	"A) 91.6
B) 8.8
C) 20.4
D) 39.7"	D
How many cubic inches of displacement are in a 4.8 liter automotive engine?	"A) 460
B) 293
C) 49.65
D) 351"	B
Which of the following expresses 5 microinches?	"A) .000005 inch
B) .00005 inch
C) .0005 inch
D) .005 inch"	A
Convert a feed rate of .018 inches per revolution to millimeters per revolution.	"A) 0.46 mm/rev
B) 0.0457 mm/rev
C) 0.0071 mm/rev
D) 4.57 x 10 mm/rev"	A
In the figure below, given that L1=8ohms L2=20ohms L3=30ohms L4=10ohms, what is the voltage drop across L2?	"A) 1.2 V
B) 4.8 V
C) 6.0 V
D) 12.0 V"	B
In this gear set (Fig. 6), the following conditions apply: the input torque is 20 lb.ft. and the speed is 100 rpm in a clockwise direction on the 10-toothed gear. What is the ideal output torque?	"A) 70.0 lb.ft.
B) 5.7 lb.ft.
C) 14.4 lb.ft.
D) 34.0 lb.ft."	A
The law of conservation of momentum states that in an isolated system:	"A) the kinetic energy before an interaction equals the kinetic energy after the interaction.
B) the velocity before an interaction equals the velocity after the interaction.
C) the total momentum before an interaction equals the total momentum after the interaction.
D) the total momentum before an interaction never equals the total momentum after the interaction."	C
A force applied over a period of time is called:	"A) impulse
B) foot-pound
C) momentum
D) inertia"	A
If a flywheel on a punch press accelerates from at rest to a top rotational speed of 3,000 rpm in 90 seconds, what is the angular acceleration?	"A) 2000 rev/min²
B) 1500 rev/min²
C) 33.3 rev/min²
D) 4500 rev/min²"	A
When an applied force stretches an object, the part is under:	"A) torsion
B) shear
C) tension
D) compression"	C
The ratio of the lateral strain on the element compared to the axial strain is called:	"A) Poisson's ratio
B) Pascal's Law
C) Boyle's Law
D) Hook's Law"	A
The energy required to raise the temperature of a unit mass of material by one degree is the definition of:	"A) thermal expansion
B) melting point
C) thermal conductivity
D) specific heat"	D
Which of the following variables must be held constant when using Boyle’s Law?	"A) volume
B) temperature
C) pressure
D) cylinder diameter"	B
Standard atmospheric pressure at sea level is:	"A) 24.6 in. Hg
B) 15.7 psi
C) 86.0 cm Hg
D) 101.33 kPa"	D
A cylindrical water tank has a diameter of 12 feet. If the tank were filled with water to a height of 8 feet, the force in pounds exerted on the bottom of the tank would be closest to:	"A) 42,200 lbs
B) 11,500 lbs
C) 56,000 lbs
D) 90,500 lbs"	C
Ductility is measured by determining the:	"A) energy absorbed per unit volume at fracture
B) energy absorbed per unit volume at yield stress
C) percent of elongation at fracture
D) yield strain"	C
Which of the following tests would be used for accelerated aging for metal parts?	"A) Hardness
B) Fatigue
C) Notched-bar impact
D) Fracture toughness test"	B
The modulus of elasticity is the:	"A) strain that a material can withstand without rupture.
B) stress that a material can withstand without rupture.
C) stress needed for a material to deform.
D) ratio of stress to strain in the elastic zone of a material."	D
A metal undergoes plastic deformation when:	"A) the metal does not remain deformed when the deforming force is removed.
B) the metal remains deformed for an indefinite period of time before returning to its original shape.
C) the force of cutting causes grain boundaries to become loosely tied together.
D) the metal remains deformed once the deforming force is removed."	D
The general type of machine that presses a steel ball into a workpiece and then measures the amount of penetration is a/an:	"A) impact testing machine.
B) compaction testing machine.
C) compression testing machine.
D) hardness testing machine."	D
Which of the following is a plain low-carbon steel?	"A) 1020
B) 4131
C) 1080
D) 4010"	A
When metals solidify from a molten state, the atoms arrange themselves into various orderly configurations known as:	"A) basal planes
B) crystals
C) grains
D) unit cells"	B
